File;Frequency;Phase;Loss tangent;Viscous component;Elastic component
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_1Hz;1.0;0.1956159212541013;0.1981498324330809;0.00030467399219004116;0.0015375939936408255
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_3Hz;3.0;0.2568416868010079;0.2626425504458012;0.00041899305671270424;0.001595297700245138
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_0.1Hz;0.1;0.1966190172942631;0.1991925209882125;0.00016180305506080427;0.0008122948304388357
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_0.3Hz;0.3;0.209873545349211;0.2130102484971571;0.000206141748981605;0.0009677550748660633
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_10Hz;10.0;0.2596957358965406;0.2656957719828461;0.000393774608499251;0.0014820507137188234
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_0.03Hz;0.03;0.188953232101456;0.1912345710196689;0.00012159043342793512;0.0006358182664337888
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_1Hz;1.0;0.1833077881491076;0.1853889183373351;0.00022714397160541496;0.0012252294993819533
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_3Hz;3.0;0.3034185359357162;0.3130858812971696;0.00044065639267118245;0.0014074617189554059
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_0.1Hz;0.1;0.1861080595059364;0.1882869444175058;0.00016203386869851358;0.0008605687940807042
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_0.3Hz;0.3;0.1684242214057681;0.1700350489182805;0.0001780961541166702;0.0010474084916590573
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_10Hz;10.0;0.4023638971388085;0.425582465075161;0.0007794229748741827;0.001831426430448752
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_0.03Hz;0.03;0.2145970677061762;0.2179531030197624;0.00014378611432610584;0.0006597112513377176
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_1Hz;1.0;0.282874192105027;0.2906687601924041;0.00029445226711870243;0.0010130165585176538
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_3Hz;3.0;0.3121752149255268;0.3227275942996212;0.00037136537917813195;0.0011507084790318713
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_0.1Hz;0.1;0.2310919712055777;0.2352954938514693;0.00014317025462960784;0.0006084700233145319
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_0.3Hz;0.3;0.2455991539162829;0.2506593738322265;0.00018764515646808373;0.000748606180567897
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_10Hz;10.0;0.3039361037043575;0.3136542746466812;0.0004698812253864176;0.0014980864708944892
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_0.03Hz;0.03;0.2012895445639501;0.2040529209901011;9.447482575831973e-05;0.00046299178320952756
