Frequency;Avg Phase;sem(Phase);Avg Loss tangent;sem(Loss tangent);Avg Viscous component;sem(Viscous component);Avg Elastic component;sem(Elastic component)
0.03;0.20161328145719412;0.007404507192976322;0.2044135316765108;0.007715083022028338;0.00011995045783745357;1.4258540540168664e-05;0.0005861737669936779;6.197598870706262e-05
0.1;0.20460634933525904;0.013585975401127472;0.20759165308572922;0.01420516332142412;0.00015566905946297522;6.249757606787487e-06;0.000760444549278024;7.725452801787781e-05
0.3;0.20796564022375397;0.022298898541381198;0.21123489041588803;0.023291159726349167;0.00019062768652211963;8.232262993337755e-06;0.0009212565823643392;8.93351137236535e-05
1.0;0.22059930050274526;0.03133950716582034;0.22473583698760669;0.033171639512727516;0.0002754234103047195;2.43193960087995e-05;0.0012586133505134776;0.0001523496335160018
3.0;0.29081181255408367;0.01717213769931283;0.29948534201419735;0.018630477944483175;0.0004103382761873396;2.0465337013107482e-05;0.001384489299410805;0.00012885481875552114
10.0;0.3219985789132355;0.04216333642738257;0.3349775039015628;0.047370696766359695;0.0005476929362532838;0.00011792958687699335;0.0016038545383540218;0.00011388006985528093
