File;Frequency;Phase;Loss tangent;cos(phase);sin(phase);Force amplitude (pN);Displacement amplitude (nm)
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_1Hz;1.0;0.19561592125410135;0.1981498324330809;0.9809281385452848;0.19437074628164216;13.688374704846622;145.00247608383228
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_3Hz;3.0;0.2568416868010079;0.2626425504458012;0.967197097846804;0.25402711256226174;12.635484391397524;127.20177032384038
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_0.1Hz;0.1;0.1966190172942631;0.1991925209882125;0.9807326725463412;0.1953546134600128;12.133566940148395;243.2503419011216
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_0.3Hz;0.3;0.209873545349211;0.2130102484971571;0.9780572676281786;0.20833622162192883;12.635590368404273;212.0422381570179
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_10Hz;10.0;0.25969573589654066;0.26569577198284616;0.9664681537843741;0.2567865022165754;13.445534764411983;145.5896753566827
220211_data_003_#30txyz_worked_out_data.tdms8V_75MD_0.03Hz;0.03;0.18895323210145604;0.19123457101966895;0.9822013885075032;0.18783086118615558;10.719224754554894;274.95329882739424
