File;Frequency;Phase;Loss tangent;cos(phase);sin(phase);Force amplitude (pN);Displacement amplitude (nm)
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_1Hz;1.0;0.282874192105027;0.2906687601924041;0.960257170553835;0.2791167612307492;13.688374704846622;215.45219057122685
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_3Hz;3.0;0.3121752149255268;0.3227275942996212;0.9516677492990346;0.3071294433038125;12.635484391397524;173.51616830104575
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_0.1Hz;0.1;0.23109197120557776;0.23529549385146933;0.9734168696632399;0.2290406030707634;12.133566940148395;322.3117855314701
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_0.3Hz;0.3;0.24559915391628295;0.2506593738322265;0.9699918222768441;0.24313754279429406;12.635590368404273;271.8555583808611
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_10Hz;10.0;0.3039361037043575;0.3136542746466812;0.954165893486305;0.2992782112140495;13.445534764411983;142.1978732857717
220211_data_003_#34txyz_worked_out_data.tdms8V_75MD_0.03Hz;0.03;0.20128954456395018;0.2040529209901011;0.9798095700681128;0.19993300478645357;10.719224754554894;376.6689183253528
