File;Frequency;Phase;Loss tangent;cos(phase);sin(phase);Force amplitude (pN);Displacement amplitude (nm)
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_1Hz;1.0;0.18330778814910761;0.18538891833733515;0.9832461196272128;0.182282934577071;13.688374704846622;182.39994205311177
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_3Hz;3.0;0.30341853593571627;0.3130858812971696;0.9543206624361134;0.2987843256389092;12.635484391397524;142.25831017729652
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_0.1Hz;0.1;0.18610805950593648;0.18828694441750582;0.9827318235444086;0.1850355722370202;12.133566940148395;230.07314605939683
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_0.3Hz;0.3;0.16842422140576813;0.1700350489182805;0.9858501370816529;0.1676290762847724;12.635590368404273;197.47783767620945
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_10Hz;10.0;0.40236389713880855;0.425582465075161;0.9201378765073593;0.39159454569302604;13.445534764411983;112.16814177979995
220211_data_003_#31txyz_worked_out_data.tdms8V_75MD_0.03Hz;0.03;0.2145970677061762;0.21795310301976242;0.9770622794649795;0.21295375565295457;10.719224754554894;263.60870503563075
